"year","Agent_ID","Reservoir","Hydro.Power","Target","Status"
"1","1","Wunonglong","949.076667848359",13281.1058842634,"Possible"
"1","1","Tuoba","2462.25808091131",14084.1777929775,"Possible"
"1","1","Huangdeng","6901.81148924674",26093.7531551103,"Possible"
"1","1","Gongguoqiao","3943.99426235113",12359.3983526712,"Complete"
"1","1","Xiaowan","2527.71341295845",55384.5842498361,"Complete"
"1","1","Manwan","4124.30827553114",20411.4110131488,"Complete"
"1","1","Dachaoshan","7990.27846315709",16730.6647648761,"Complete"
"1","1","Nuozadu","1731.38927829138",68127.2669225753,"Complete"
"1","1","Jinghong","2765.63624757309",16943.6004982472,"Complete"
"1","1","Ganlanba","308.058948654945",1785.6182212695,"Planned"
"1","4","Pak Beng","15.7545880392554",16025.2390996079,"Planned"
"1","4","Luangprabang","726.4584116912",16539.9351865565,"Planned"
"1","4","Nam Beng","220.884217928589",415.224680073742,"UC"
"1","4","Xayabouri","1031.66948401774",18359.0147373557,"UC"
"1","4","Pak Lay","3327.81203364632",19650.926251109,"Planned"
"1","4","Sanakham","4942.98715438211",15255.3243265188,"Planned"
"1","5","Santhong-Pakchom","1395.48266454173",16177.0318581111,"Planned"
"1","6","Nam Ngum 3","3097.36937591335",6473.24629448296,"UC"
"1","6","Nam Ngum 2","3756.98726294207",6996.45981076635,"Complete"
"1","6","Nam Ngum 1","862.992872963653",3060.19068244824,"Complete"
"1","6","Nam Ngiep 1","1685.37361432241",4702.83776845425,"UC"
"1","6","Nam Theun 1","2828.63551448639",5597.16784861308,"Planned"
"1","6","Nam Theun 2","5529.36587980164",18056.9501898735,"Complete"
"1","6","Ban Kum","8909.58840092188",25655.7139321754,"Planned"
"1","7","Ubol Ratana","144.413122764628",170.34858669692,"Complete"
"1","8","Latsua","3838.94019170602",8115.89338048897,"Planned"
"1","8","Don Sahong","1325.38046474515",7224.6052393783,"Planned"
"1","8","Stung Treng","4113.79234176235",14814.2431645357,"Planned"
"1","9","Xekong 5","1736.13820704689",11854.4364706767,"Planned"
"1","9","Xepian-Xenamnoy","2351.11021733969",5438.9870181088,"UC"
"1","9","Houay Ho","904.037330982573",1481.42431645357,"Complete"
"1","9","Xe Kaman 1","2004.36160804265",3333.96519678258,"UC"
"1","9","Yali","4390.73921072252",11129.2382015956,"Complete"
"1","9","Lower Sesan 2","2706.40298435532",7032.35469153463,"UC"
"1","10","Sambor","12526.1227946485",35712.36442539,"Planned"
"2","1","Wunonglong","7287.20460822409",13281.1058842634,"Possible"
"2","1","Tuoba","7884",14084.1777929775,"Possible"
"2","1","Huangdeng","16630.1502122886",26093.7531551103,"Possible"
"2","1","Gongguoqiao","6570",12359.3983526712,"Complete"
"2","1","Xiaowan","31461.7380450987",55384.5842498361,"Complete"
"2","1","Manwan","13578",20411.4110131488,"Complete"
"2","1","Dachaoshan","11826",16730.6647648761,"Complete"
"2","1","Nuozadu","47260.8112112249",68127.2669225753,"Complete"
"2","1","Jinghong","15330",16943.6004982472,"Complete"
"2","1","Ganlanba","1357.8",1785.6182212695,"Planned"
"2","4","Pak Beng","7468.23078796087",16025.2390996079,"Planned"
"2","4","Luangprabang","11519.5927665143",16539.9351865565,"Planned"
"2","4","Nam Beng","297.84",415.224680073742,"UC"
"2","4","Xayabouri","11032.4022899025",18359.0147373557,"UC"
"2","4","Pak Lay","9411.2400026128",19650.926251109,"Planned"
"2","4","Sanakham","6132",15255.3243265188,"Planned"
"2","5","Santhong-Pakchom","8772.32900423608",16177.0318581111,"Planned"
"2","6","Nam Ngum 3","3854.4",6473.24629448296,"UC"
"2","6","Nam Ngum 2","5387.4",6996.45981076635,"Complete"
"2","6","Nam Ngum 1","1302.612",3060.19068244824,"Complete"
"2","6","Nam Ngiep 1","2382.72",4702.83776845425,"UC"
"2","6","Nam Theun 1","4581.48",5597.16784861308,"Planned"
"2","6","Nam Theun 2","9417",18056.9501898735,"Complete"
"2","6","Ban Kum","16398.72",25655.7139321754,"Planned"
"2","7","Ubol Ratana","220.752",170.34858669692,"Complete"
"2","8","Latsua","6009.36",8115.89338048897,"Planned"
"2","8","Don Sahong","2102.4",7224.6052393783,"Planned"
"2","8","Stung Treng","8584.8",14814.2431645357,"Planned"
"2","9","Xekong 5","2890.8",11854.4364706767,"Planned"
"2","9","Xepian-Xenamnoy","3591.6",5438.9870181088,"UC"
"2","9","Houay Ho","1314",1481.42431645357,"Complete"
"2","9","Xe Kaman 1","2820.72",3333.96519678258,"UC"
"2","9","Yali","6307.2",11129.2382015956,"Complete"
"2","9","Lower Sesan 2","4204.8",7032.35469153463,"UC"
"2","10","Sambor","22776",35712.36442539,"Planned"
"3","1","Wunonglong","8409.6",13281.1058842634,"Possible"
"3","1","Tuoba","7884",14084.1777929775,"Possible"
"3","1","Huangdeng","16644",26093.7531551103,"Possible"
"3","1","Gongguoqiao","6570",12359.3983526712,"Complete"
"3","1","Xiaowan","31536",55384.5842498361,"Complete"
"3","1","Manwan","13578",20411.4110131488,"Complete"
"3","1","Dachaoshan","11826",16730.6647648761,"Complete"
"3","1","Nuozadu","51246",68127.2669225753,"Complete"
"3","1","Jinghong","15330",16943.6004982472,"Complete"
"3","1","Ganlanba","1357.8",1785.6182212695,"Planned"
"3","4","Pak Beng","7489.8",16025.2390996079,"Planned"
"3","4","Luangprabang","12351.6",16539.9351865565,"Planned"
"3","4","Nam Beng","297.84",415.224680073742,"UC"
"3","4","Xayabouri","11037.6",18359.0147373557,"UC"
"3","4","Pak Lay","9852.83162663435",19650.926251109,"Planned"
"3","4","Sanakham","6132",15255.3243265188,"Planned"
"3","5","Santhong-Pakchom","8988.68453484178",16177.0318581111,"Planned"
"3","6","Nam Ngum 3","3854.4",6473.24629448296,"UC"
"3","6","Nam Ngum 2","5387.4",6996.45981076635,"Complete"
"3","6","Nam Ngum 1","1302.612",3060.19068244824,"Complete"
"3","6","Nam Ngiep 1","2382.72",4702.83776845425,"UC"
"3","6","Nam Theun 1","4581.48",5597.16784861308,"Planned"
"3","6","Nam Theun 2","9417",18056.9501898735,"Complete"
"3","6","Ban Kum","16398.72",25655.7139321754,"Planned"
"3","7","Ubol Ratana","220.752",170.34858669692,"Complete"
"3","8","Latsua","6009.36",8115.89338048897,"Planned"
"3","8","Don Sahong","2102.4",7224.6052393783,"Planned"
"3","8","Stung Treng","8584.8",14814.2431645357,"Planned"
"3","9","Xekong 5","2890.8",11854.4364706767,"Planned"
"3","9","Xepian-Xenamnoy","3591.6",5438.9870181088,"UC"
"3","9","Houay Ho","1314",1481.42431645357,"Complete"
"3","9","Xe Kaman 1","2820.72",3333.96519678258,"UC"
"3","9","Yali","6307.2",11129.2382015956,"Complete"
"3","9","Lower Sesan 2","4204.8",7032.35469153463,"UC"
"3","10","Sambor","22776",35712.36442539,"Planned"
"4","1","Wunonglong","8409.6",13281.1058842634,"Possible"
"4","1","Tuoba","7840.67401668685",14084.1777929775,"Possible"
"4","1","Huangdeng","16554.602356843",26093.7531551103,"Possible"
"4","1","Gongguoqiao","6570",12359.3983526712,"Complete"
"4","1","Xiaowan","30946.2374191755",55384.5842498361,"Complete"
"4","1","Manwan","13578",20411.4110131488,"Complete"
"4","1","Dachaoshan","11826",16730.6647648761,"Complete"
"4","1","Nuozadu","51246",68127.2669225753,"Complete"
"4","1","Jinghong","15330",16943.6004982472,"Complete"
"4","1","Ganlanba","1357.8",1785.6182212695,"Planned"
"4","4","Pak Beng","7489.8",16025.2390996079,"Planned"
"4","4","Luangprabang","12351.6",16539.9351865565,"Planned"
"4","4","Nam Beng","297.84",415.224680073742,"UC"
"4","4","Xayabouri","11037.6",18359.0147373557,"UC"
"4","4","Pak Lay","9306.54523406243",19650.926251109,"Planned"
"4","4","Sanakham","6132",15255.3243265188,"Planned"
"4","5","Santhong-Pakchom","8497.91776882107",16177.0318581111,"Planned"
"4","6","Nam Ngum 3","3854.4",6473.24629448296,"UC"
"4","6","Nam Ngum 2","5387.4",6996.45981076635,"Complete"
"4","6","Nam Ngum 1","1302.612",3060.19068244824,"Complete"
"4","6","Nam Ngiep 1","2382.72",4702.83776845425,"UC"
"4","6","Nam Theun 1","4581.48",5597.16784861308,"Planned"
"4","6","Nam Theun 2","9417",18056.9501898735,"Complete"
"4","6","Ban Kum","16398.72",25655.7139321754,"Planned"
"4","7","Ubol Ratana","220.752",170.34858669692,"Complete"
"4","8","Latsua","6009.36",8115.89338048897,"Planned"
"4","8","Don Sahong","2102.4",7224.6052393783,"Planned"
"4","8","Stung Treng","8584.8",14814.2431645357,"Planned"
"4","9","Xekong 5","2890.8",11854.4364706767,"Planned"
"4","9","Xepian-Xenamnoy","3591.6",5438.9870181088,"UC"
"4","9","Houay Ho","1314",1481.42431645357,"Complete"
"4","9","Xe Kaman 1","2820.72",3333.96519678258,"UC"
"4","9","Yali","6307.2",11129.2382015956,"Complete"
"4","9","Lower Sesan 2","4204.8",7032.35469153463,"UC"
"4","10","Sambor","22776",35712.36442539,"Planned"
"5","1","Wunonglong","8432.64",13281.1058842634,"Possible"
"5","1","Tuoba","7905.6",14084.1777929775,"Possible"
"5","1","Huangdeng","16689.6",26093.7531551103,"Possible"
"5","1","Gongguoqiao","6588",12359.3983526712,"Complete"
"5","1","Xiaowan","31622.4",55384.5842498361,"Complete"
"5","1","Manwan","13615.2",20411.4110131488,"Complete"
"5","1","Dachaoshan","11858.4",16730.6647648761,"Complete"
"5","1","Nuozadu","51386.4",68127.2669225753,"Complete"
"5","1","Jinghong","15372",16943.6004982472,"Complete"
"5","1","Ganlanba","1361.52",1785.6182212695,"Planned"
"5","4","Pak Beng","7510.32",16025.2390996079,"Planned"
"5","4","Luangprabang","12385.44",16539.9351865565,"Planned"
"5","4","Nam Beng","298.656",415.224680073742,"UC"
"5","4","Xayabouri","11067.84",18359.0147373557,"UC"
"5","4","Pak Lay","9705.98479579567",19650.926251109,"Planned"
"5","4","Sanakham","6148.8",15255.3243265188,"Planned"
"5","5","Santhong-Pakchom","8933.74257834645",16177.0318581111,"Planned"
"5","6","Nam Ngum 3","3864.96",6473.24629448296,"UC"
"5","6","Nam Ngum 2","5402.16",6996.45981076635,"Complete"
"5","6","Nam Ngum 1","1306.1808",3060.19068244824,"Complete"
"5","6","Nam Ngiep 1","2389.248",4702.83776845425,"UC"
"5","6","Nam Theun 1","4594.032",5597.16784861308,"Planned"
"5","6","Nam Theun 2","9442.8",18056.9501898735,"Complete"
"5","6","Ban Kum","16443.648",25655.7139321754,"Planned"
"5","7","Ubol Ratana","221.3568",170.34858669692,"Complete"
"5","8","Latsua","6025.824",8115.89338048897,"Planned"
"5","8","Don Sahong","2108.16",7224.6052393783,"Planned"
"5","8","Stung Treng","8608.32",14814.2431645357,"Planned"
"5","9","Xekong 5","2898.72",11854.4364706767,"Planned"
"5","9","Xepian-Xenamnoy","3601.44",5438.9870181088,"UC"
"5","9","Houay Ho","1317.6",1481.42431645357,"Complete"
"5","9","Xe Kaman 1","2828.448",3333.96519678258,"UC"
"5","9","Yali","6324.48",11129.2382015956,"Complete"
"5","9","Lower Sesan 2","4216.32",7032.35469153463,"UC"
"5","10","Sambor","22838.4",35712.36442539,"Planned"
"6","1","Wunonglong","8409.6",13281.1058842634,"Possible"
"6","1","Tuoba","7884",14084.1777929775,"Possible"
"6","1","Huangdeng","16644",26093.7531551103,"Possible"
"6","1","Gongguoqiao","6570",12359.3983526712,"Complete"
"6","1","Xiaowan","31352.6941803706",55384.5842498361,"Complete"
"6","1","Manwan","13578",20411.4110131488,"Complete"
"6","1","Dachaoshan","11826",16730.6647648761,"Complete"
"6","1","Nuozadu","51246",68127.2669225753,"Complete"
"6","1","Jinghong","15330",16943.6004982472,"Complete"
"6","1","Ganlanba","1357.8",1785.6182212695,"Planned"
"6","4","Pak Beng","7489.8",16025.2390996079,"Planned"
"6","4","Luangprabang","12351.6",16539.9351865565,"Planned"
"6","4","Nam Beng","297.84",415.224680073742,"UC"
"6","4","Xayabouri","11037.6",18359.0147373557,"UC"
"6","4","Pak Lay","10211.220335091",19650.926251109,"Planned"
"6","4","Sanakham","6132",15255.3243265188,"Planned"
"6","5","Santhong-Pakchom","9009.9486068074",16177.0318581111,"Planned"
"6","6","Nam Ngum 3","3854.4",6473.24629448296,"UC"
"6","6","Nam Ngum 2","5387.4",6996.45981076635,"Complete"
"6","6","Nam Ngum 1","1302.612",3060.19068244824,"Complete"
"6","6","Nam Ngiep 1","2382.72",4702.83776845425,"UC"
"6","6","Nam Theun 1","4581.48",5597.16784861308,"Planned"
"6","6","Nam Theun 2","9417",18056.9501898735,"Complete"
"6","6","Ban Kum","16398.72",25655.7139321754,"Planned"
"6","7","Ubol Ratana","220.752",170.34858669692,"Complete"
"6","8","Latsua","6009.36",8115.89338048897,"Planned"
"6","8","Don Sahong","2102.4",7224.6052393783,"Planned"
"6","8","Stung Treng","8584.8",14814.2431645357,"Planned"
"6","9","Xekong 5","2890.8",11854.4364706767,"Planned"
"6","9","Xepian-Xenamnoy","3591.6",5438.9870181088,"UC"
"6","9","Houay Ho","1314",1481.42431645357,"Complete"
"6","9","Xe Kaman 1","2820.72",3333.96519678258,"UC"
"6","9","Yali","6307.2",11129.2382015956,"Complete"
"6","9","Lower Sesan 2","4204.8",7032.35469153463,"UC"
"6","10","Sambor","22776",35712.36442539,"Planned"
"7","1","Wunonglong","8409.6",13281.1058842634,"Possible"
"7","1","Tuoba","7884",14084.1777929775,"Possible"
"7","1","Huangdeng","16644",26093.7531551103,"Possible"
"7","1","Gongguoqiao","6570",12359.3983526712,"Complete"
"7","1","Xiaowan","31536",55384.5842498361,"Complete"
"7","1","Manwan","13578",20411.4110131488,"Complete"
"7","1","Dachaoshan","11826",16730.6647648761,"Complete"
"7","1","Nuozadu","51246",68127.2669225753,"Complete"
"7","1","Jinghong","15330",16943.6004982472,"Complete"
"7","1","Ganlanba","1357.8",1785.6182212695,"Planned"
"7","4","Pak Beng","7489.8",16025.2390996079,"Planned"
"7","4","Luangprabang","12351.6",16539.9351865565,"Planned"
"7","4","Nam Beng","297.84",415.224680073742,"UC"
"7","4","Xayabouri","11037.6",18359.0147373557,"UC"
"7","4","Pak Lay","10782.9332838733",19650.926251109,"Planned"
"7","4","Sanakham","6132",15255.3243265188,"Planned"
"7","5","Santhong-Pakchom","9343.8511675579",16177.0318581111,"Planned"
"7","6","Nam Ngum 3","3854.4",6473.24629448296,"UC"
"7","6","Nam Ngum 2","5387.4",6996.45981076635,"Complete"
"7","6","Nam Ngum 1","1302.612",3060.19068244824,"Complete"
"7","6","Nam Ngiep 1","2382.72",4702.83776845425,"UC"
"7","6","Nam Theun 1","4581.48",5597.16784861308,"Planned"
"7","6","Nam Theun 2","9417",18056.9501898735,"Complete"
"7","6","Ban Kum","16398.72",25655.7139321754,"Planned"
"7","7","Ubol Ratana","220.752",170.34858669692,"Complete"
"7","8","Latsua","6009.36",8115.89338048897,"Planned"
"7","8","Don Sahong","2102.4",7224.6052393783,"Planned"
"7","8","Stung Treng","8584.8",14814.2431645357,"Planned"
"7","9","Xekong 5","2890.8",11854.4364706767,"Planned"
"7","9","Xepian-Xenamnoy","3591.6",5438.9870181088,"UC"
"7","9","Houay Ho","1314",1481.42431645357,"Complete"
"7","9","Xe Kaman 1","2820.72",3333.96519678258,"UC"
"7","9","Yali","6307.2",11129.2382015956,"Complete"
"7","9","Lower Sesan 2","4204.8",7032.35469153463,"UC"
"7","10","Sambor","22776",35712.36442539,"Planned"
"8","1","Wunonglong","8409.6",13281.1058842634,"Possible"
"8","1","Tuoba","7884",14084.1777929775,"Possible"
"8","1","Huangdeng","16644",26093.7531551103,"Possible"
"8","1","Gongguoqiao","6570",12359.3983526712,"Complete"
"8","1","Xiaowan","31536",55384.5842498361,"Complete"
"8","1","Manwan","13578",20411.4110131488,"Complete"
"8","1","Dachaoshan","11826",16730.6647648761,"Complete"
"8","1","Nuozadu","51246",68127.2669225753,"Complete"
"8","1","Jinghong","15330",16943.6004982472,"Complete"
"8","1","Ganlanba","1357.8",1785.6182212695,"Planned"
"8","4","Pak Beng","7489.8",16025.2390996079,"Planned"
"8","4","Luangprabang","12351.6",16539.9351865565,"Planned"
"8","4","Nam Beng","297.84",415.224680073742,"UC"
"8","4","Xayabouri","11037.6",18359.0147373557,"UC"
"8","4","Pak Lay","10198.1865469856",19650.926251109,"Planned"
"8","4","Sanakham","6132",15255.3243265188,"Planned"
"8","5","Santhong-Pakchom","9208.9839858733",16177.0318581111,"Planned"
"8","6","Nam Ngum 3","3854.4",6473.24629448296,"UC"
"8","6","Nam Ngum 2","5387.4",6996.45981076635,"Complete"
"8","6","Nam Ngum 1","1302.612",3060.19068244824,"Complete"
"8","6","Nam Ngiep 1","2382.72",4702.83776845425,"UC"
"8","6","Nam Theun 1","4581.48",5597.16784861308,"Planned"
"8","6","Nam Theun 2","9417",18056.9501898735,"Complete"
"8","6","Ban Kum","16398.72",25655.7139321754,"Planned"
"8","7","Ubol Ratana","220.752",170.34858669692,"Complete"
"8","8","Latsua","6009.36",8115.89338048897,"Planned"
"8","8","Don Sahong","2102.4",7224.6052393783,"Planned"
"8","8","Stung Treng","8584.8",14814.2431645357,"Planned"
"8","9","Xekong 5","2890.8",11854.4364706767,"Planned"
"8","9","Xepian-Xenamnoy","3591.6",5438.9870181088,"UC"
"8","9","Houay Ho","1314",1481.42431645357,"Complete"
"8","9","Xe Kaman 1","2820.72",3333.96519678258,"UC"
"8","9","Yali","6307.2",11129.2382015956,"Complete"
"8","9","Lower Sesan 2","4204.8",7032.35469153463,"UC"
"8","10","Sambor","22776",35712.36442539,"Planned"
"9","1","Wunonglong","8432.64",13281.1058842634,"Possible"
"9","1","Tuoba","7905.6",14084.1777929775,"Possible"
"9","1","Huangdeng","16689.6",26093.7531551103,"Possible"
"9","1","Gongguoqiao","6588",12359.3983526712,"Complete"
"9","1","Xiaowan","31622.4",55384.5842498361,"Complete"
"9","1","Manwan","13615.2",20411.4110131488,"Complete"
"9","1","Dachaoshan","11858.4",16730.6647648761,"Complete"
"9","1","Nuozadu","51386.4",68127.2669225753,"Complete"
"9","1","Jinghong","15372",16943.6004982472,"Complete"
"9","1","Ganlanba","1361.52",1785.6182212695,"Planned"
"9","4","Pak Beng","7510.32",16025.2390996079,"Planned"
"9","4","Luangprabang","12385.44",16539.9351865565,"Planned"
"9","4","Nam Beng","298.656",415.224680073742,"UC"
"9","4","Xayabouri","11067.84",18359.0147373557,"UC"
"9","4","Pak Lay","10062.0641058504",19650.926251109,"Planned"
"9","4","Sanakham","6148.8",15255.3243265188,"Planned"
"9","5","Santhong-Pakchom","8960.44751296323",16177.0318581111,"Planned"
"9","6","Nam Ngum 3","3864.96",6473.24629448296,"UC"
"9","6","Nam Ngum 2","5402.16",6996.45981076635,"Complete"
"9","6","Nam Ngum 1","1306.1808",3060.19068244824,"Complete"
"9","6","Nam Ngiep 1","2389.248",4702.83776845425,"UC"
"9","6","Nam Theun 1","4594.032",5597.16784861308,"Planned"
"9","6","Nam Theun 2","9442.8",18056.9501898735,"Complete"
"9","6","Ban Kum","16443.648",25655.7139321754,"Planned"
"9","7","Ubol Ratana","221.3568",170.34858669692,"Complete"
"9","8","Latsua","6025.824",8115.89338048897,"Planned"
"9","8","Don Sahong","2108.16",7224.6052393783,"Planned"
"9","8","Stung Treng","8608.32",14814.2431645357,"Planned"
"9","9","Xekong 5","2898.72",11854.4364706767,"Planned"
"9","9","Xepian-Xenamnoy","3601.44",5438.9870181088,"UC"
"9","9","Houay Ho","1317.6",1481.42431645357,"Complete"
"9","9","Xe Kaman 1","2828.448",3333.96519678258,"UC"
"9","9","Yali","6324.48",11129.2382015956,"Complete"
"9","9","Lower Sesan 2","4216.32",7032.35469153463,"UC"
"9","10","Sambor","22838.4",35712.36442539,"Planned"
"10","1","Wunonglong","8409.6",13281.1058842634,"Possible"
"10","1","Tuoba","7884",14084.1777929775,"Possible"
"10","1","Huangdeng","16644",26093.7531551103,"Possible"
"10","1","Gongguoqiao","6570",12359.3983526712,"Complete"
"10","1","Xiaowan","31536",55384.5842498361,"Complete"
"10","1","Manwan","13578",20411.4110131488,"Complete"
"10","1","Dachaoshan","11826",16730.6647648761,"Complete"
"10","1","Nuozadu","51246",68127.2669225753,"Complete"
"10","1","Jinghong","15330",16943.6004982472,"Complete"
"10","1","Ganlanba","1357.8",1785.6182212695,"Planned"
"10","4","Pak Beng","7489.8",16025.2390996079,"Planned"
"10","4","Luangprabang","12351.6",16539.9351865565,"Planned"
"10","4","Nam Beng","297.84",415.224680073742,"UC"
"10","4","Xayabouri","11037.6",18359.0147373557,"UC"
"10","4","Pak Lay","9059.23594136849",19650.926251109,"Planned"
"10","4","Sanakham","6132",15255.3243265188,"Planned"
"10","5","Santhong-Pakchom","9019.28191226368",16177.0318581111,"Planned"
"10","6","Nam Ngum 3","3854.4",6473.24629448296,"UC"
"10","6","Nam Ngum 2","5387.4",6996.45981076635,"Complete"
"10","6","Nam Ngum 1","1302.612",3060.19068244824,"Complete"
"10","6","Nam Ngiep 1","2382.72",4702.83776845425,"UC"
"10","6","Nam Theun 1","4581.48",5597.16784861308,"Planned"
"10","6","Nam Theun 2","9417",18056.9501898735,"Complete"
"10","6","Ban Kum","16398.72",25655.7139321754,"Planned"
"10","7","Ubol Ratana","220.752",170.34858669692,"Complete"
"10","8","Latsua","6009.36",8115.89338048897,"Planned"
"10","8","Don Sahong","2102.4",7224.6052393783,"Planned"
"10","8","Stung Treng","8584.8",14814.2431645357,"Planned"
"10","9","Xekong 5","2890.8",11854.4364706767,"Planned"
"10","9","Xepian-Xenamnoy","3591.6",5438.9870181088,"UC"
"10","9","Houay Ho","1314",1481.42431645357,"Complete"
"10","9","Xe Kaman 1","2820.72",3333.96519678258,"UC"
"10","9","Yali","6307.2",11129.2382015956,"Complete"
"10","9","Lower Sesan 2","4204.8",7032.35469153463,"UC"
"10","10","Sambor","22776",35712.36442539,"Planned"
"11","1","Wunonglong","8409.6",13281.1058842634,"Possible"
"11","1","Tuoba","7884",14084.1777929775,"Possible"
"11","1","Huangdeng","16644",26093.7531551103,"Possible"
"11","1","Gongguoqiao","6570",12359.3983526712,"Complete"
"11","1","Xiaowan","31536",55384.5842498361,"Complete"
"11","1","Manwan","13578",20411.4110131488,"Complete"
"11","1","Dachaoshan","11826",16730.6647648761,"Complete"
"11","1","Nuozadu","51246",68127.2669225753,"Complete"
"11","1","Jinghong","15330",16943.6004982472,"Complete"
"11","1","Ganlanba","1357.8",1785.6182212695,"Planned"
"11","4","Pak Beng","7489.8",16025.2390996079,"Planned"
"11","4","Luangprabang","12351.6",16539.9351865565,"Planned"
"11","4","Nam Beng","297.84",415.224680073742,"UC"
"11","4","Xayabouri","11037.6",18359.0147373557,"UC"
"11","4","Pak Lay","10566.1798309938",19650.926251109,"Planned"
"11","4","Sanakham","6132",15255.3243265188,"Planned"
"11","5","Santhong-Pakchom","9369.87503424364",16177.0318581111,"Planned"
"11","6","Nam Ngum 3","3854.4",6473.24629448296,"UC"
"11","6","Nam Ngum 2","5387.4",6996.45981076635,"Complete"
"11","6","Nam Ngum 1","1302.612",3060.19068244824,"Complete"
"11","6","Nam Ngiep 1","2382.72",4702.83776845425,"UC"
"11","6","Nam Theun 1","4581.48",5597.16784861308,"Planned"
"11","6","Nam Theun 2","9417",18056.9501898735,"Complete"
"11","6","Ban Kum","16398.72",25655.7139321754,"Planned"
"11","7","Ubol Ratana","220.752",170.34858669692,"Complete"
"11","8","Latsua","6009.36",8115.89338048897,"Planned"
"11","8","Don Sahong","2102.4",7224.6052393783,"Planned"
"11","8","Stung Treng","8584.8",14814.2431645357,"Planned"
"11","9","Xekong 5","2890.8",11854.4364706767,"Planned"
"11","9","Xepian-Xenamnoy","3591.6",5438.9870181088,"UC"
"11","9","Houay Ho","1314",1481.42431645357,"Complete"
"11","9","Xe Kaman 1","2820.72",3333.96519678258,"UC"
"11","9","Yali","6307.2",11129.2382015956,"Complete"
"11","9","Lower Sesan 2","4204.8",7032.35469153463,"UC"
